,P4,Cz,F8,T7
1447,-0.45250216,0.9860158,4.7500634,-2.999096
1451,-0.52641594,3.3605568,1.9593806,5.0278854
1457,6.2614007,0.112987705,-5.209019,1.9737537
1460,6.033621,-0.59739864,-3.9943182,4.8284082
1461,3.9453776,0.25006258,-4.028683,2.8358426
1466,-1.9446727,-4.412889,5.0460625,-4.357164
1468,-0.053541422,0.11387059,4.9603662,-3.42849
1472,-0.88317794,4.495227,4.2994785,2.7487864
1475,1.0514138,5.822049,-0.47229424,2.1277874
1479,4.33223,0.8241091,-4.6286306,1.7054046
1480,0.95591396,-2.2561188,-3.9283628,0.6518964
1486,-0.78711253,-2.724658,4.628092,1.2797165
1488,-2.6096919,-3.8478634,1.9962232,1.4926542
1490,-2.7394571,-1.6999205,1.4557524,2.1830413
1496,0.20984434,0.8919878,4.2714505,3.611412
1497,2.6873765,-0.14163253,3.033485,3.3025615
1499,3.522301,-0.8877347,0.85238856,-0.40363967
1503,1.2626933,-3.8576891,2.6209955,-7.9811883
1504,-0.8894248,-5.8769765,0.9271132,-7.2103233
1506,-2.3163617,-8.9365,-1.6301997,-1.0234877
1512,-4.769788,3.5432024,-2.6639247,3.2140596
1514,1.0181429,5.174651,-0.6304634,-0.6062544
1515,4.198751,5.8150353,-1.1457355,-0.72774583
1516,6.5229325,6.308092,-0.75070864,1.5608146
1517,6.747578,6.0425897,-1.2116972,2.9444323
1519,4.5644937,5.9497614,-7.7329698,3.8487623
1521,3.7419846,7.0664425,-6.3860264,3.9135382
1523,0.081022136,2.2856107,-1.3128383,2.536287
1533,-3.8652515,-2.6836028,3.2045076,-4.0157275
1539,2.2679796,2.5230305,3.238817,-2.3842757
1547,3.026792,2.7045808,-6.842331,1.5568451
1549,3.974391,1.3491663,-7.840761,-4.0698185
1557,-4.0425878,-6.2013206,-3.8012092,1.3276805
1558,-4.5091634,-5.0986066,-0.5057973,2.408801
1560,-2.6902199,-2.5605514,-0.80362105,5.058365
1566,5.6661015,6.928017,1.1851425,1.7322255
1570,2.6015654,4.659263,-11.030276,3.913755
1572,0.9131181,1.3728143,-3.7093487,-1.415892
1574,-2.0122697,-4.0184064,0.30317712,-4.6151643
1583,-4.5406203,-5.9080477,5.855011,4.7334523
1585,-1.3480617,0.9381231,1.8221105,6.628042
1586,2.380822,4.4899673,-2.3768218,7.618144
1588,5.838018,4.6830997,-5.5285187,5.6374536
1592,4.199671,-1.0617038,-1.6029482,-3.368766
1593,3.2019155,-1.7988383,-1.4475354,-6.132329
1599,-5.9551363,-2.827271,12.169552,-3.4778318
1601,-5.3750787,-3.076224,13.723283,-2.618165
1605,2.542402,-2.1782148,-3.0365274,5.180758
1615,-0.743611,-5.3104877,3.27578,-4.394075
1617,-1.7275884,-2.4041436,0.03437946,-5.510781
1618,-0.51613456,-1.2117327,0.21306953,-5.651066
1622,-0.63589525,0.3833358,5.511942,-4.345976
1625,-5.490219,-1.0085068,6.9136634,0.20507754
1626,-6.7127185,0.5309923,6.8795457,2.0143979
1627,-7.150878,-0.15555121,4.736173,3.6481414
1628,-4.8768015,0.56458974,2.8583252,4.6220617
1629,-0.7671598,2.9038212,1.4125789,5.9966245
1630,3.4336007,4.026616,-1.6983728,7.660944
1631,6.938866,3.5708976,-3.9036763,7.443993
1633,3.9954474,1.2365543,-2.4212902,1.2814286
1636,1.9477507,1.3471266,-1.4734448,-4.746696
1637,2.1189587,0.04276962,-4.1622076,-4.352133
1641,-0.26761007,4.0780406,-4.8452067,-7.2226133
1642,-1.2032542,3.8674216,-3.628024,-8.453951
1645,-7.729459,0.19072503,6.5742774,1.4100369
1646,-9.283017,-1.8884057,6.119163,3.9428215
1647,-9.276144,-4.174972,4.388743,5.2284737
1649,-3.7039988,-4.6033154,2.227451,5.2024817
1651,0.8974765,-3.3580906,-0.73515934,6.1689987
1652,4.7221646,-3.015497,-3.395386,5.7883444
1655,7.4239507,-1.1599425,-1.4167182,3.0795858
1659,3.2808616,3.7148898,-5.2117314,0.40211144
1660,1.5436934,3.1287196,-6.3848457,0.58097035
1663,-2.891592,5.345018,0.9637082,-1.6838716
1664,-3.6015306,5.758048,1.3675463,-1.8869414
1671,-4.841283,-1.1387825,1.6402243,2.4372914
1674,6.797841,6.0224533,-7.6883225,10.638179
1676,7.8215656,3.0838268,-9.28666,6.426813
1678,7.557878,1.3906553,-10.81009,0.53635836
1680,5.118501,3.5197692,-6.8106813,-1.0190709
1685,-4.439793,-1.9624106,-3.6932225,-4.24159
1688,-3.1538882,-3.1401286,-1.4064022,1.9227332
1689,-4.576654,-3.5648732,-2.1257284,1.6342435
1699,3.8454967,2.723186,1.4043854,4.0201526
1703,4.051474,8.981198,-3.150009,-0.9179383
1704,6.430439,9.046231,-5.277404,1.4601804
1714,-9.18641,-8.000859,4.942819,1.5656141
1719,-0.8785443,-5.573227,2.1496992,0.08264301
1728,3.8743136,1.7751298,-6.1707864,0.49781787
1729,1.3478223,0.5241455,-5.897486,0.7016977
1730,0.080524676,-0.41998425,-5.6113625,0.21063319
1731,0.8251598,-2.2635264,-3.5909398,-0.059835076
1732,0.5486735,-3.828991,-0.6699396,1.1837529
1733,-1.9490188,-5.283077,0.8132146,2.0233517
1734,-5.027402,-7.8015285,0.9258274,-0.042513896
1737,-8.130614,-8.430258,4.2227407,-2.5254593
1740,0.66304,-0.35998982,7.2822537,0.06894919
1743,9.060779,3.3498914,0.66865754,-0.9295728
1745,8.495677,5.277966,-3.2328603,-0.6099459
1747,4.4487376,7.0165076,-5.6966963,3.1495507
1750,-1.7215352,2.583112,-8.881593,5.63269
1754,-1.2694106,4.2967777,-2.5723236,-2.6533096
1755,0.41672254,4.6344504,-2.4085324,-3.896056
1759,-3.5740945,1.705579,1.4518416,-6.382727
1761,-8.131761,-4.3241053,-0.75765026,-2.4126737
1773,7.4010587,1.7603852,0.49098533,0.9083456
1776,3.6074815,3.9640794,1.8379482,-3.5095918
1780,-2.2933478,6.8244395,6.2275786,-0.24779318
1782,-5.0296717,3.8874319,7.839468,-2.0880196
1787,-8.104545,-12.629517,6.29723,1.6866525
1788,-7.7656646,-13.63477,9.01238,3.9699268
1794,3.6449163,-4.2287135,-1.0489348,0.15764266
1798,1.6799092,-2.6409476,-0.76955116,-3.4100268
1800,1.9505416,-0.74597186,-0.026792593,-1.6722928
1802,1.2137218,6.03363,-2.6010828,1.2523937
1810,-4.3545265,0.61266845,4.317871,-2.229046
1811,-6.7347074,-1.4675152,5.3013883,-3.960994
1818,1.9802878,1.8190429,1.9106884,0.950253
1823,-4.7401834,-5.099359,-0.3915609,-0.2791707
1825,-4.9760838,-3.841585,0.8065585,1.5908858
1826,-3.3472388,-2.9381342,2.5873902,0.8230158
1827,-2.7714603,-1.0529126,4.3542323,1.0285909
1829,-1.8610238,1.1282327,3.8637629,3.4942997
1831,-0.26272032,-0.6800771,4.8454347,1.0156598
1832,0.8317911,-0.93651134,4.687796,-0.18861037
1835,0.8551416,-4.208218,2.8747098,-1.4375205
